"Error occured in Logitrail shipping selection.","Error occured in Logitrail shipping selection."
"Logitrail Order Id: ","Logitrail Order Id: "
"Enabled","Enabled"
"Title","Title"
"Method name","Method name"
"Merchant ID","Merchant ID"
"Merchant ID from Logitrail","Merchant ID from Logitrail"
"Secret Key","Secret Key"
"Merchant Secret Key from Logitrail","Merchant Secret Key from Logitrail"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Sort Order","Sort Order"
"Test mode","Test mode"
"Select yes to enable test mode. Test mode uses Logitrail test server and writes log to logitrail.log","Select yes to enable test mode. Test mode uses Logitrail test server and writes log to logitrail.log"
"Tracking URL: ","Tracking URL: "
"Logitrail Order Id: %s, Tracking number: %s, Tracking URL: %s","Logitrail Order Id: %s, Tracking number: %s, Tracking URL: %s"
"Automatic shipment creation","Automatic shipment creation"
"Error: could not confirm order to Logitrail. Logitrail Order Id: ","Error: could not confirm order to Logitrail. Logitrail Order Id: "
