"Error occured in Logitrail shipping selection.","Logitrail toimistusvalinnassa tapahtui virhe."
"Logitrail Order Id: ","Logitrail tilaustunnus: "
"Enabled","Käytössä"
"Title","Otsikko"
"Method Name","Toimitustavan nimi"
"Merchant ID","Kauppiaan tunnus"
"Merchant ID from Logitrail","Logitrailin antama kauppiastunnus"
"Secret Key","Salainen avain"
"Merchant Secret Key from Logitrail","Logitrailin antama salainen avain"
"Ship to Applicable Countries","Käytössä kaikkiin maihin"
"Ship to Specific Countries","Käytössä määriteltyihin maihin"
"Show Method if Not Applicable","Näytä toimitustapa aina"
"Sort Order","Järjestys"
"Test mode","Testitila"
"Select yes to enable test mode. Test mode uses Logitrail test server and writes log to logitrail.log","Valitse kyllä käyttääksesi testitilaa. Testitilassa käytetään Logitrailin testipalvelinta ja kirjoitetaan lokia tiedostoon logitrail.log"
"Tracking URL: ","Seurantatunnus: "
"Logitrail Order Id: %s, Tracking number: %s, Tracking URL: %s","Logitrail tilaustunnus: %s, seurantanumero: %s, seurannan URL-osoite: %s"
"Automatic shipment creation","Luo tuomitus automaattisesti"
"Error: could not confirm order to Logitrail. Logitrail Order Id: ","Virhe: tilauksen vahvistus Logitrailille epäonnistui"
"Products successfully added to Logitrail","Tuotteiden lisäys Logitrailille onnistui"
"Error: Adding products failed: ","Virhe: tuotteiden lisäys epäonnistui: "
"Create/update product to Logitrail","Luo/päivitä tuote Logitrailille"
"Automatic creation or update to Logitrail on product save","Automaattinen tuotteen luonti tai päivitys Logitraille"
"When product is saved, update Logitrail automatically.","Tuotteen tallennus päivittää muutokset automaattisesti."
"Create/Update products to Logitrail","Luo/päivitä tuotteet Logitrailille"
"Error creating/updating products","Virhe tuotteiden luonnissa/päivityksessä"
"Failed creating/updating product IDs: ","Tuotteiden luonti/päivitys epäonnistui. Tuotenumerot: "

